Dealership,Phone,Email,Contact,Stores,OEM,Territory
Romans Outdoor Power,(918) 331-9100,mike_g@kckubota.com,,3,Kubota,"Bartlesville OK; Independence KS; Louisburg KS"
Bruna Brothers Implement,(785) 325-2232,,"Ted & Tony Bruna - Owners",6,Case IH/New Holland,"Washington KS; Clay Center KS; Marysville KS; Seneca KS; Hiawatha KS; Humboldt NE"
Lano Equipment,(952) 445-6310,SANDYB@LANOEQUIP.COM,,3,Kubota,"Shakopee MN; Loretto MN; Ramsey MN"
Quality Equipment Sales and Service,(507) 338-7080,jdoege@qualityforklift.com,,4,Kubota,"Faribault MN; Detroit Lakes MN; Alexandria MN; Brainerd MN"
Olson Power and Equipment,(651) 674-4494,jfairbanks@olsonpower.com,,2,Kubota,"North Branch MN; Rice Lake WI"
Johnson Tractor,(608) 323-7399,darrellb@johnsontractor.com,,3,Kubota,"Arcadia WI; Osseo WI; Menomonie WI"
Yes Equipment & Services,(608) 243-9253,kubota@yesequipment.com,,2,Kubota,"Madison WI; Milwaukee WI"
The Homesteader's Store,(608) 819-6785,rick@orangeequipment.com,,2,Kubota/LS,"Madison WI; Richland Center WI"
Lochen Equipment,(262) 675-6565,michael.lochen@lochenequipment.com,,2,Kubota,"Newburg WI; Waldo WI"
Rew Motors,(715) 449-2524,rewmotors@rewmotors.com,,2,Kubota,"Birnamwood WI; Antigo WI"
Ritchie Implement,(608) 623-2331,loganritchie@ritchiesinc.com,Ron Ritchie - CEO & co-owner,4,Case IH/Kubota/New Holland,"Cobb WI; Darlington WI; Barneveld WI; Lancaster WI"
Kunau Implement Co,(563) 689-3311,sales@kunauimplement.com,,2,Case IH/Kubota/New Holland,"Preston IA; De Witt IA"
Town & Country Implement,(712) 476-2731,sales@townandcountryimpl.com,,2,Case IH/Kubota/New Holland,"Rock Valley IA; Orange City IA"
Rueter's,(712) 792-9294,rueterscarroll@rueterco.com,,2,Kubota,"Carroll IA; Grand Junction IA"
New Tec,(866) 369-0505,BLAYNEVM@NTLIFTS.COM,,2,Kubota,"Spencer IA; Worthington MN"
Andersons' Sales & Service,(502) 241-7222,joshua@andersonssales.com,,2,Kubota,"Crestwood KY; Madison IN"
McKeel Equipment Co,(270) 753-3062,dan@mckeelequipment.com,,2,Case IH/Kubota,"Murray KY; Paducah KY"
Hobdy Dye & Read,(270) 796-4105,cindy@hdrtractors.com,,3,Kubota,"Bowling Green KY; Scottsville KY; Columbia KY"
Hagan's Outdoor Equipment,(270) 322-8181,info@gohagan.com,,3,Kubota,"Madisonville KY; Owensboro KY; Philpot KY"
Kubota Tractor of the Tristate,(859) 371-7567,jimw@kttequipment.com,,2,Kubota,"Alexandria KY; Florence KY"
Jacobi Sales,(812) 364-6141,shelbyville@jacobisales.com,Brian Jacobi - President,7,Case IH/Kubota,"Palmyra IN; Franklin IN; Seymour IN; Elizabethtown KY; Shelbyville KY; Louisville KY; Sellersburg IN"
Rigg's Outdoor Power Equipment,(219) 462-4099,geoff.blanco@riggsdirect.com,Geoff Blanco - Owner,4,Kubota,"Valparaiso IN; Lafayette IN; Laporte IN; Mishawaka IN"
Zimmer Tractor,(812) 926-3999,daniel@zimmertractor.com,,3,Kubota,"Aurora IN; Monroe OH; Brookville IN"
Hopf Equipment,(812) 683-2763,mark.melhiser@hopfequipment.com,,2,Case IH/Kubota,"Huntingburg IN; Evansville IN"
More Farm Store,(765) 787-2870,shanelogan@morefarmstoreonline.com,,3,Kubota,"Kokomo IN; Columbia City IN; Ridgeville Corners OH"
Baxla Tractor Sales,(937) 386-2440,chris.b@baxlatractor.com,,2,Kubota,"Seaman OH; Batavia OH"
Affolder Equipment Sales,(419) 628-3045,chris@affolders.com,,2,Kubota,"Minster OH; Berne IN"
Streacker Tractor Sales,(419) 334-9775,greg@streackertractor.com,,2,Kubota,"Fremont OH; Findlay OH"
Ricer Equipment,(740) 289-4318,info@ricerequipment.com,,2,Kubota,"Lucasville OH; Jackson OH"
CEC Turf & Tractor,(740) 593-3279,trinityj@cecturfandtractor.com,,3,Kubota,"Athens OH; Lancaster OH; Canal Winchester OH"
Sterling Farm Equipment,(330) 939-2561,conrad@sterlingfarmstore.com,,2,Case IH/Kubota/New Holland,"Sterling OH; Wooster OH"
Lashley Tractor Sales,(740) 374-4151,JAMEY.LASHLEYTRACTOR@GMAIL.COM,Gary Lashley - Founder/Owner,4,Kubota,"Marietta OH; Zanesville OH; Quaker City OH; St. Clairsville OH"
Murphy Family,(740) 544-5620,sales@murphyfamilyinc.com,,3,Kubota,"Wintersville OH; Washington PA; Smock PA"
ABC Equipment Rental and Sales,(440) 934-7368,gardner9318@gmail.com,,2,Kubota,"Avon OH; Brunswick OH"
Wolf Kubota,(269) 668-7800,timb@wolfkubota.com,Tim Buursma - President,4,Kubota,"Mattawan MI; Byron Center MI; Lakeview MI; Free Soil MI"
Ausra Kubota,(269) 246-6480,matt@ausrakubota.com,,2,Kubota,"Stevensville MI; Niles MI"
Motor City Kubota,(734) 421-9999,info@carletonequipment.com,,2,Kubota,"Livonia MI; Brighton MI"
Ginop Sales,(989) 742-7500,hillman@ginop.com,Ken Ginop - family leadership,3,Kubota,"Hillman MI; Williamsburg MI; Alanson MI"
Chickasaw Equipment Company,(662) 456-3391,daniel@chickasawequipment.com,,3,Kubota,"Houston MS; Tupelo MS; Ripley MS"
Ayres-Delta Implement,(662) 686-2361,maryw@delta-grp.com,,2,Kubota,"Leland MS; Greenwood MS"
Parish Tractor Company,(601) 795-4521,patrick@parishtractor.com,Lee Parish - Owner/Founder,7,Kubota,"Poplarville MS; Hattiesburg MS; Meridian MS; Robertsdale AL; Pensacola FL; Crestview FL; Marianna FL"
Bayou Kubota,(318) 388-4750,HEATHER@BAYOUKUBOTA.COM,Jeremy Gantt - President,4,Kubota,"Monroe LA; Natchitoches LA; Ruston LA; Bossier City LA"
Abell & Son,(337) 893-1476,rabell@abellandson.com,Ryan Abell - President,3,Kioti/Kubota,"Abbeville LA; Lake Charles LA; Welsh LA"
Oge' Machinery,(337) 893-1451,michael@ogemachinery.com,,2,Kubota,"Abbeville LA; Lafayette LA"
Sammy Broussard Equipment Center,(337) 367-5296,m.lejeune@sammybroussard.com,,2,Kubota,"New Iberia LA; Lafayette LA"
M & L Industries,(985) 876-2280,rlindley@mlind.net,,2,Kubota,"Houma LA; Baton Rouge LA"
Smith Equipment,(870) 642-6600,smitheq@sbcglobal.net,,2,Kubota,"De Queen AR; Idabel OK"
Gray Brothers Equipment,(918) 647-8000,graybrothers1@gmail.com,,2,Kubota,"Poteau OK; Fort Smith AR"
Country Equipment,(405) 392-3664,tyson@countryequipment.com,,2,Kubota,"Tuttle OK; Yukon OK"
Deen Kubota,(972) 552-3151,jack@deenkubota.com,Jeff Deen - Owner,3,Kubota,"Forney TX; Frisco TX; Wills Point TX"
Central Kubota,(972) 938-1770,stevew@centralkubota.com,,2,Kubota,"Waxahachie TX; Corsicana TX"
Lowe Tractor & Equipment,(903) 593-5337,gyce@lowetractor.com,,2,Kubota,"Tyler TX; Henderson TX"
Scherer Kubota,(361) 575-2562,brad@victoriaoliverco.com,,3,Kubota,"Victoria TX; Hallettsville TX; El Campo TX"
Lone Star AG,(806) 244-7770,clint@lonestarag.com,Clint Hurst - Owner,3,Kubota,"Dalhart TX; Friona TX; Perryton TX"
Fuller Tractor Company,(361) 668-9800,fullertractoralice@sbcglobal.net,,2,Kubota,"Alice TX; Beeville TX"
Zimmerer Kubota & Equipment,(817) 645-9106,jeffm@zkmail.com,Sam Zimmerer - President & CEO,6,Kubota,"Cleburne TX; Ft Worth TX; Decatur TX; Denton TX; Gainesville TX; Van Alstyne TX"
Nelson Tractor Company,(678) 454-2900,Shawnna@nelsontractorco.com,Will Nelson - CEO & President,3,Kubota,"Jasper GA; Blairsville GA; Dalton GA"
Sapelo Equipment Co,(912) 264-6066,dave@sapeloequipmentco.com,,2,Kubota,"Douglas GA; Brunswick GA"
J & B Tractor Co,(706) 793-0134,WAYLON.WHITE@JANDBTRACTOR.COM,,2,Case IH/Kubota/New Holland,"Waynesboro GA; Augusta GA"
Mason Tractor & Equipment,(478) 987-1173,billmason@masontractorco.com,Bill Mason - President & CEO,7,Kubota,"Perry GA; Waverly Hall GA; Mcdonough GA; Norcross GA; Villa Rica GA; Cumming GA; Blue Ridge GA"
Beshears Tractor and Equipment,(334) 203-1322,jessi@BESHEARSKUBOTA.COM,,2,Kubota,"Opelika AL; Oxford AL"
Alabama Tractor,(256) 362-6113,lanec@alabamatractor.com,,2,Kubota,"Lincoln AL; Ashville AL"
Krebs Kubota,(931) 388-3362,jamie.bowling@krebskubota.com,,3,Kubota,"Columbia TN; Franklin TN; Murfreesboro TN"
RJV Kubota,(615) 793-7576,bparker@rjvequipment.com,,2,Kubota,"La Vergne TN; Knoxville TN"
Crystal Kubota & Equipment,(352) 490-7061,bobbi.wall@crystaltractor.com,,2,Kubota,"Hernando FL; Chiefland FL"
State Equipment,(304) 252-5300,eddie@stateequipment.com,,4,Kubota,"Beaver WV; Cross Lanes WV; Buckhannon WV; Shinnston WV"
Parcs,(304) 782-4111,lmorrison@parcs.com,,2,Kubota,"Salem WV; Morgantown WV"
Rippeon Equipment Company,(410) 247-9600,lewya@rippeonequipment.com,Jonathan Rippeon - President,4,Kubota,"Baltimore MD; Gaithersburg MD; Westminster MD; Frederick MD"
Bayside Kubota & Equipment,(240) 309-4040,kevin.freeburger@baysidekubota.com,,3,Kubota,"Hollywood MD; Faulkner MD; Upper Marlboro MD"
Western Maryland Outdoor Power,(301) 387-4500,jimmiestihl@aol.com,,2,Kubota,"Oakland MD; Cumberland MD"
Burke Equipment,,mmiller@burkeequipment.com,,3,Kubota,"Delmar DE; Felton DE; Newark DE"
Land and Coates,(804) 598-3058,ngoodrich@landandcoates.com,,2,Kubota,"Powhatan VA; Gloucester VA"
Beverage Tractor & Equipment,(540) 605-7385,stephen.eanes@beveragetractor.com,Allen Gilbert - President,4,Kubota,"Blacksburg VA; Danville VA; Stuarts Draft VA; Orange VA"
Spaulding Equip Co of South Boston,(434) 735-8161,katie@spauldingequipment.net,,2,Case IH/Kubota/New Holland,"Randolph VA; Clover VA"
C. H. Waltz Sons,(570) 675-3344,deanna@chwaltz.com,Deanna Boehret - President,4,Kubota,"Dallas PA; Bloomsburg PA; Winfield PA; Cogan Station PA"
A. R. Beatty Diesel,(814) 899-4294,arbeatty@arbeatty.com,,2,Kubota,"Erie PA; Youngsville PA"
M & R Power Equipment,(724) 347-2484,rod@mrpowerequipment.com,,2,Kubota,"Hermitage PA; Butler PA"
Eagle Power Turf and Tractor,(610) 458-7054,jkehoe@eagleptt.com,,2,Kubota,"West Chester PA; Doylestown PA"
Powerco,(908) 735-2149,matthews@powercoinc.com,,2,Case IH/Kubota/New Holland,"Bethlehem PA; Clinton NJ"
Ace Outdoor Power Equipment,(609) 978-1166,STEVE@ACEOUTDOORPOWER.COM,,2,Kubota,"West Creek NJ; Bayville NJ"
Marshall Machinery,(732) 446-7600,lpetrie@marshall-machinery.com,Earl J. Marshall - President/Owner,6,Kubota,"Millstone NJ; Tannersville PA; Middletown NY; Honesdale PA; South Abington PA; Binghamton NY"
Malvese Equipment Co,(516) 681-7600,ckafarski@malveseinc.com,,2,Kubota,"Hicksville NY; Riverhead NY"
Bentley Bros,(585) 589-9610,laura@bentleybrosinc.com,,2,Kubota,"Albion NY; Brockport NY"
Niagara Implement,(716) 568-0166,info@niagaraimplement.com,,2,Kubota,"East Amherst NY; Newfane NY"
Admar Supply Co,(716) 873-8000,rich.dimarco@admarsupply.com,Joel DiMarco - President,5,Kubota,"Buffalo NY; Vestal NY; Cicero NY; Canandaigua NY; Rochester NY"
Salem Farm Supply,(518) 854-7424,clewis@salemfarmsupply.com,Carole Lewis - President & co-owner,5,Case IH/Kubota,"Salem NY; Claverack NY; Fultonville NY; Charlton NY; Ft. Edward NY"
White's Farm Supply,(315) 697-2214,sales.waterville@whitesfarmsupply.com,"Dale/Doug/Art White - Owners",4,Case IH/Kubota/New Holland,"Canastota NY; Lowville NY; Waterville NY; Franklin NY"
Norfolk Power Equipment,(508) 384-0011,WAYNEP@norfolkpower.com,,2,Kubota,"Wrentham MA; Carver MA"
F & W Equipment Corp,(203) 795-0591,SALESNH@FWEQUIP.COM,,2,Kubota,"Orange CT; North Haven CT"
Townline Equipment Sales,(603) 675-6347,matt@townlineequipment.com,Matt Marrazzo - President,7,Case IH/Kubota/New Holland,"Plainfield NH; Oneonta NY; Greenville NY; Sharon Spring NY; Troy NY; Walpole NH; Pittsford VT"
M.B. Tractor & Equipment,(860) 500-5022,SEAN.DULINA@MBTRACTOR.COM,Marc Bourgeois - Owner,9,Kubota,"South Windsor CT; West Springfield MA; North Reading MA; Plaistow NH; Tilton NH; Somersworth NH; Conway NH; Gorham ME; Fairfield ME"
Burks Tractor Company,(208) 733-5543,btc.inc@burkstractor.com,,2,Case IH/Kubota/New Holland,"Twin Falls ID; Caldwell ID"
Rusler Implement Co,(719) 948-3338,brett@ruslerimplement.com,,2,Case IH/Kubota/New Holland,"Pueblo CO; Rocky Ford CO"
Western Implement Co,(970) 252-1311,d.coleman@westernimplement.com,,2,Kubota,"Montrose CO; Grand Junction CO"
Wickham Tractor Co,(970) 867-5669,brad@wickhamtractor.com,Brad Wickham - Co-President/owner,5,Case IH/Kubota/New Holland,"Fort Morgan CO; Sterling CO; Greeley CO; Fort Collins CO; Longmont CO"
Front Range Kubota,(719) 392-9292,info@frontrangekubota.com,,2,Kubota,"Fountain CO; Kiowa CO"
Black Cliffs Equipment,(801) 731-5381,sgerratt@bcpequipment.com,,3,Kubota,"Farr West UT; Hyde Park UT; Heber City UT"
Bonneville Equipment Company,(801) 601-8668,bonneville1@bec1.com,,3,Kubota,"Washington UT; Sandy UT; Springville UT"
Mountain West Equipment,(208) 524-7375,Rob@mwrentals.com,,3,Kubota,"Chubbuck ID; Idaho Falls ID; Rexburg ID"
Nevada Power Products,(775) 885-6979,nevadapower@sbcglobal.net,,2,Kubota,"Carson City NV; Sparks NV"
Acme Tools,(701) 577-2263,aequip@acmetools.com,"Steve & Paul Kuhlman - Co-owners",5,Kubota,"Williston ND; Minot ND; Fargo ND; Grand Forks ND; Bemidji MN"
Floyd's Kubota,(605) 223-3100,bblow@floydstrucks.com,,2,Kubota,"Ft. Pierre SD; Belgrade MT"
